table_name,identity_class,present_identity_fields,required_fields_for_class,missing_required_fields,optional_future_fields,normalization_priority
pdf_execution_approval_gate,Class IV — Reference / Registry,"firm_id, created_at, updated_at","created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
permissions,Class IV — Reference / Registry,None,"created_at, updated_at, status","created_at, updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
properties,Class I — Institutional Core,"firm_id, trust_id, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
role_permissions,Class IV — Reference / Registry,None,"created_at, updated_at, status","created_at, updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
section_review_gate,Class IV — Reference / Registry,"firm_id, created_at, updated_at","created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
sqlite_sequence,Class IV — Reference / Registry,None,"created_at, updated_at, status","created_at, updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
tax_form_guides,Class IV — Reference / Registry,"created_at, updated_at, status","created_at, updated_at, status",None,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Low
transfer_actions,Class I — Institutional Core,created_at,"firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
transfer_archive_handoff,Class I — Institutional Core,"firm_id, trust_id, transfer_id, handoff_id, created_at, updated_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, capacity, status, record_version","institution_id, minute_id, certificate_id, archive_id, governance_id, execution_session_id, chain_id, updated_by",High
transfer_archive_handoff_corrections,Class I — Institutional Core,"firm_id, trust_id, transfer_id, handoff_id, created_at, updated_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, capacity, status, record_version","institution_id, minute_id, certificate_id, archive_id, governance_id, execution_session_id, chain_id, updated_by",High
transfer_records,Class I — Institutional Core,"created_at, updated_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","firm_id, trust_id, matter_id, created_by, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
transfer_support_docs,Class I — Institutional Core,"created_at, updated_at, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","firm_id, trust_id, matter_id, created_by, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
transfers,Class I — Institutional Core,"firm_id, trust_id, transfer_id, created_by, created_at, updated_at, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, capacity, record_version","institution_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
trust_article_assignments,Class I — Institutional Core,"trust_id, created_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","firm_id, matter_id, created_by, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
trust_article_conditions,Class I — Institutional Core,None,"firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
trust_articles,Class I — Institutional Core,created_at,"firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
trust_minutes,Class I — Institutional Core,"firm_id, trust_id, minute_id, certificate_id, created_by, created_at, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, updated_at, capacity, record_version","institution_id, transfer_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
trust_template_types,Class IV — Reference / Registry,None,"created_at, updated_at, status","created_at, updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
trusts,Class I — Institutional Core,"firm_id, trust_id, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
tutorial_videos,Class IV — Reference / Registry,"created_at, updated_at","created_at, updated_at, status",status,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
user_permission_overrides,Class IV — Reference / Registry,created_at,"created_at, updated_at, status","updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
user_roles,Class III — Administrative / Workflow,"firm_id, trust_id, status","firm_id, created_by, created_at, updated_at, status","created_by, created_at, updated_at","institution_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
workspace_notes,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
workspaces,Class III — Administrative / Workflow,"firm_id, created_at, updated_at, status","firm_id, created_by, created_at, updated_at, status",created_by,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
